Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Pkt Len Mean,Pkt Len Std,Down/Up Ratio,Init Fwd Win Byts,Label
443,6,14/02/2018 08:00:00,7363900,9,6,3937,3453,534.64,2.04,490926.7,368195.0,818211.1,1,17,0,3,87,26,1,29200,Benign
443,6,14/02/2018 08:01:00,7676566,19,14,1256,4656,163.61,4.3,232623.2,383828.3,404029.8,1,11,0,2,81,33,1,29200,Benign
443,6,14/02/2018 08:02:00,3951701,16,15,1008,5797,255.08,7.84,127474.2,197585.0,246981.3,1,16,0,6,123,34,1,29200,Benign
443,6,14/02/2018 08:03:00,5768238,17,10,926,2507,160.53,4.68,213638.4,288411.9,339308.1,1,23,0,4,105,29,1,29200,Benign
443,6,14/02/2018 08:04:00,3806182,20,11,1318,1959,346.28,8.14,122780.1,190309.1,190309.1,1,22,0,2,115,42,1,29200,Benign
443,6,14/02/2018 08:05:00,7064421,12,18,1077,4963,152.45,4.25,235480.7,353221.0,588701.8,1,13,0,5,80,55,1,29200,Benign
80,6,16/02/2018 10:00:00,1600,4,0,39,0,24375.0,2500.0,400.0,80.0,400.0,1,0,0,0,11,0,0,-1,DoS attacks-Hulk
80,6,16/02/2018 10:01:00,2764,2,0,4,0,1447.18,723.59,1382.0,138.2,1382.0,1,0,0,0,1,0,0,-1,DoS attacks-Hulk
80,6,16/02/2018 10:02:00,3108,2,0,18,0,5791.51,643.5,1554.0,155.4,1554.0,1,0,0,0,2,0,0,-1,DoS attacks-Hulk
80,6,16/02/2018 10:03:00,3903,2,0,6,0,1537.28,512.43,1951.5,195.2,1951.5,1,0,0,0,12,0,0,-1,DoS attacks-Hulk
22,6,14/02/2018 09:00:00,132869,9,7,283,679,2129.92,120.42,8304.3,6643.4,14763.2,1,8,0,3,57,30,1,8192,SSH-Bruteforce
22,6,14/02/2018 09:01:00,78717,10,6,473,550,6008.87,203.26,4919.8,3935.8,7871.7,1,7,1,2,57,30,1,8192,SSH-Bruteforce
22,6,14/02/2018 09:02:00,117570,8,5,317,332,2696.27,110.57,9043.8,5878.5,14696.2,1,12,1,2,57,12,1,8192,SSH-Bruteforce
22,6,14/02/2018 09:03:00,115307,10,7,308,811,2671.13,147.43,6782.8,5765.4,11530.7,1,9,1,1,56,14,1,8192,SSH-Bruteforce
Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Pkt Len Mean,Pkt Len Std,Down/Up Ratio,Init Fwd Win Byts,Label
80,6,x,-5,3,1,100,50,0,0,-1.2,-0.2,-1.7,1,1,0,0,30,5,0,8192,Benign
80,6,x,1000,3,1,100,50,Infinity,4000.0,250.0,50.0,333.3,1,1,0,0,30,5,0,8192,Benign
80,6,x,1000,3,1,100,50,NaN,4000.0,250.0,50.0,333.3,1,1,0,0,30,5,0,8192,Benign
80,6,x,,3,1,100,50,Infinity,4000.0,250.0,50.0,333.3,1,1,0,0,30,5,0,8192,Benign
